session_id,name,stimulus_name,specimen_id,storage_directory,external_specimen_name,genotype,date_of_acquisition,rig,date_of_birth,full_genotype,age,sex,parent_session_id,workflow_state,project
690759629,20180426_377629_TFxSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_690759629/,377629,Sst-IRES-Cre;Ai148,2018-04-26 19:44:15.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
693352070,20180503_383647_TargetedContrast,VisCodingTargetedContrast,675881553,/allen/programs/braintv/production/neuralcoding/prod51/specimen_675881553/ophys_session_693352070/,383647,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-03 15:33:33.000000,CAM2P.2,2018-02-16 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P130,M,,uploaded,VisCodingTargetedContrast
692796041,20180501_377151_VISp_275um_ContrastTuning,VisCodingTargetedContrast,666839638,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666839638/ophys_session_692796041/,377151,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-01 22:02:41.000000,CAM2P.1,2018-01-09 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P129,M,,uploaded,VisCodingTargetedContrast
696247907,20180510_381627_TFxSF,VisCodingTargetedTFxSF,673580710,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673580710/ophys_session_696247907/,381627,Rbp4-Cre_KL100;Camk2a-tTA;Ai93,2018-05-10 16:38:40.000000,CAM2P.1,2018-02-04 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
693424346,20180503_377129_TFxSF,VisCodingTargetedTFxSF,666788991,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666788991/ophys_session_693424346/,377129,Ntsr1-Cre_GN220;Ai148,2018-05-03 16:48:22.000000,CAM2P.2,2018-01-09 00:00:00.000000,Ntsr1-Cre_GN220/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P133,F,,uploaded,VisCodingTargetedTFxSF
692413859,20180501_377129_TFxSF,VisCodingTargetedTFxSF,666788991,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666788991/ophys_session_692413859/,377129,Ntsr1-Cre_GN220;Ai148,2018-05-01 16:54:59.000000,CAM2P.2,2018-01-09 00:00:00.000000,Ntsr1-Cre_GN220/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P133,F,,uploaded,VisCodingTargetedTFxSF
694568572,20180507_383647_TargetedContrast,VisCodingTargetedContrast,675881553,/allen/programs/braintv/production/neuralcoding/prod51/specimen_675881553/ophys_session_694568572/,383647,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-07 15:05:58.000000,CAM2P.2,2018-02-16 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P130,M,,uploaded,VisCodingTargetedContrast
695414843,20180508_378346_TargetedContrast,VisCodingTargetedContrast,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_695414843/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-08 20:03:27.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedContrast
697383979,20180514_383960_TargetedContrast,VisCodingTargetedContrast,678530120,/allen/programs/braintv/production/neuralcoding/prod52/specimen_678530120/ophys_session_697383979/,383960,Vip-IRES-Cre;Ai148,2018-05-14 15:22:55.000000,CAM2P.1,2018-02-18 00:00:00.000000,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,F,,uploaded,VisCodingTargetedContrast
698273664,20180516_379899_TargetedContrast,VisCodingTargetedContrast,673647168,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673647168/ophys_session_698273664/,379899,Vip-IRES-Cre;Ai148,2018-05-16 14:47:15.000000,CAM2P.1,2018-01-27 00:00:00.000000,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P128,M,,uploaded,VisCodingTargetedContrast
692708565,20180501_377629_TFSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_692708565/,377629,Sst-IRES-Cre;Ai148,2018-05-01 19:50:56.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
